 ???????????????????????  ?  ??????  31 ??????? 2559 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 31 December 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (??? : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ???????? , ?????????? , ???????? , ??????????? ,??????????,??????,?????????,??????,???????,???????, ???????????????,????????,???????,???????????,??????????????,???????,??????????,??????????,??????,?????,????????,????,???????,????????????????????????,,???????,?????,???????????,????????,?????????,??????????,????????,??????????,???????????,??????,???????,???,????????,??????,??????,???????,?????????,?????????,????????,????????,???????????,????????,?????????,?????????,?????,????,?????,?????,????,?????????,???????,???,????????,?????????,??????,?????????,?????????,?????????,?????????????,??????????,?????????,??????,???????,?????????,???????????,????????,???????????????,?????????,?????,?????,????????????,?????,?????????????,??????,??????,??????,????,?????,????,???????,????,????????
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
 ??????????? ," 37,338,139 "," 9,363,588 "," 27,974,551 "," 2,188,830 "," 172,003 "," 135,797 "," 412,601 "," 151,221 "," 418,466 "," 422,072 "," 147,418 "," 183,547 "," 145,705 "," 11,678,743 "," 124,011 "," 258,354 "," 382,341 "," 1,449,377 "," 692,064 "," 365,245 "," 131,216 "," 223,648 "," 8,052,487 ", -   ," 361,855 "," 204,476 "," 704,325 "," 389,676 "," 487,621 "," 1,300,626 "," 446,727 "," 121,482 "," 154,709 "," 101,237 "," 217,961 "," 260,366 "," 649,557 "," 213,555 "," 459,902 "," 823,643 "," 285,323 "," 324,738 "," 389,099 "," 155,609 "," 6,673,455 "," 705,664 "," 58,774 "," 1,363,611 "," 264,674 "," 226,562 "," 270,773 "," 448,320 "," 253,109 "," 255,002 "," 304,216 "," 223,276 "," 482,632 "," 352,943 "," 287,822 "," 444,470 "," 554,677 "," 176,930 "," 2,782,253 "," 482,313 "," 397,597 "," 466,608 "," 492,166 "," 231,296 "," 70,389 "," 316,799 "," 325,085 "," 4,651,270 "," 288,838 "," 84,934 "," 593,615 "," 121,763 "," 611,208 "," 243,728 "," 455,904 "," 244,570 "," 348,539 "," 811,444 "," 131,268 "," 219,995 "," 265,832 "," 229,632 "
 Grand Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ?. ??????????????????????????? ," 36,124,623 "," 9,181,486 "," 26,943,137 "," 2,030,590 "," 163,945 "," 130,602 "," 396,790 "," 145,443 "," 387,639 "," 399,176 "," 126,663 "," 165,544 "," 114,788 "," 11,247,859 "," 119,880 "," 247,243 "," 359,579 "," 1,397,917 "," 667,397 "," 356,921 "," 127,521 "," 213,254 "," 7,758,147 ", -   ," 342,094 "," 198,336 "," 684,509 "," 376,526 "," 468,219 "," 1,244,357 "," 429,122 "," 118,207 "," 146,448 "," 97,987 "," 212,111 "," 249,299 "," 626,772 "," 208,688 "," 450,695 "," 794,221 "," 272,350 "," 312,474 "," 374,797 "," 150,935 "," 6,490,363 "," 689,787 "," 57,651 "," 1,339,638 "," 257,725 "," 220,565 "," 266,299 "," 438,695 "," 246,932 "," 248,780 "," 293,732 "," 216,266 "," 468,608 "," 335,609 "," 278,495 "," 431,101 "," 530,038 "," 170,442 "," 2,642,271 "," 455,241 "," 379,265 "," 429,540 "," 474,216 "," 217,095 "," 67,028 "," 306,154 "," 313,732 "," 4,532,054 "," 281,875 "," 81,450 "," 575,148 "," 117,621 "," 595,952 "," 237,124 "," 444,512 "," 238,257 "," 341,332 "," 786,274 "," 128,696 "," 216,107 "," 261,329 "," 226,377 "
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ??. 1 ?????????????????????????? 7 ?? Sedan (Not more than 7 Pass.) ," 8,197,012 "," 4,001,423 "," 4,195,589 "," 386,689 "," 23,420 "," 20,327 "," 68,307 "," 25,153 "," 68,007 "," 76,240 "," 27,824 "," 62,547 "," 14,864 "," 1,672,337 "," 20,957 "," 41,198 "," 55,441 "," 255,204 "," 136,961 "," 59,429 "," 13,767 "," 25,443 "," 1,063,937 ",," 33,737 "," 23,313 "," 100,243 "," 37,161 "," 44,845 "," 209,219 "," 44,665 "," 12,333 "," 15,753 "," 10,334 "," 26,638 "," 32,170 "," 96,107 "," 19,972 "," 50,016 "," 163,849 "," 34,996 "," 38,138 "," 49,396 "," 21,052 "," 990,770 "," 102,793 "," 2,422 "," 295,475 "," 31,836 "," 26,143 "," 27,916 "," 73,290 "," 34,690 "," 31,626 "," 32,048 "," 24,635 "," 93,873 "," 39,819 "," 26,625 "," 43,262 "," 80,890 "," 23,427 "," 338,512 "," 53,349 "," 55,850 "," 68,846 "," 61,783 "," 7,433 "," 7,921 "," 45,684 "," 37,646 "," 807,281 "," 34,802 "," 10,744 "," 108,941 "," 12,973 "," 98,544 "," 45,941 "," 106,344 "," 33,567 "," 51,593 "," 207,476 "," 16,072 "," 25,518 "," 34,046 "," 20,720 "
     ??. 2 ??????????????????????? 7 ?? Microbus & Passenger Van ," 422,221 "," 210,625 "," 211,596 "," 28,686 "," 1,259 "," 1,299 "," 3,783 "," 1,399 "," 3,501 "," 4,793 "," 3,793 "," 6,082 "," 2,777 "," 86,724 "," 1,438 "," 2,672 "," 3,658 "," 10,281 "," 5,209 "," 2,701 ", 985 ," 1,753 "," 58,027 ",," 2,655 "," 1,686 "," 4,737 "," 3,149 "," 3,178 "," 9,420 "," 3,344 ", 910 , 794 , 555 ," 1,618 "," 1,803 "," 4,789 "," 1,481 "," 3,362 "," 6,285 "," 2,574 "," 2,116 "," 2,562 "," 1,009 "," 48,785 "," 5,476 ", 516 ," 12,123 "," 1,579 "," 1,323 "," 2,212 "," 4,096 "," 1,544 "," 1,875 "," 2,217 "," 1,863 "," 3,606 "," 1,827 "," 1,747 "," 2,210 "," 3,514 "," 1,057 "," 19,434 "," 3,564 "," 2,868 "," 3,827 "," 3,369 ", 942 , 617 ," 2,429 "," 1,818 "," 27,967 "," 1,383 ", 582 ," 3,766 ", 752 ," 3,456 "," 1,665 "," 3,069 "," 1,127 "," 1,484 "," 5,882 ", 765 ," 1,416 "," 1,383 "," 1,237 "
     ??. 3 ????????????????????? Van & Pick Up ," 6,277,527 "," 1,282,212 "," 4,995,315 "," 385,355 "," 31,965 "," 22,092 "," 74,383 "," 29,792 "," 70,677 "," 69,963 "," 29,727 "," 40,148 "," 16,608 "," 2,137,375 "," 23,675 "," 50,765 "," 68,742 "," 187,317 "," 120,803 "," 85,013 "," 23,409 "," 47,106 "," 1,530,545 ",," 65,034 "," 42,371 "," 133,675 "," 81,606 "," 80,794 "," 230,845 "," 73,129 "," 24,254 "," 35,675 "," 17,760 "," 37,712 "," 61,730 "," 116,768 "," 31,631 "," 81,909 "," 176,482 "," 67,918 "," 63,491 "," 77,793 "," 29,968 "," 1,231,531 "," 131,371 "," 6,915 "," 233,437 "," 50,485 "," 48,214 "," 59,336 "," 87,300 "," 50,216 "," 42,551 "," 53,736 "," 40,203 "," 85,158 "," 67,826 "," 48,643 "," 94,680 "," 97,439 "," 34,021 "," 488,809 "," 93,362 "," 74,429 "," 98,131 "," 82,484 "," 11,276 "," 11,948 "," 54,973 "," 62,206 "," 752,245 "," 74,593 "," 15,210 "," 117,410 "," 17,502 "," 109,217 "," 51,488 "," 42,341 "," 39,807 "," 54,524 "," 126,233 "," 16,034 "," 32,162 "," 33,320 "," 22,404 "
     ??. 4 ????????????????????? Motortricycle ," 1,638 ", 848 , 790 , 360 , -   , -   , 7 , -   , 1 , 7 , 3 , 323 , 19 , 91 , -   , -   , 1 , 31 , 2 , 9 , 2 , -   , 46 ,, 1 , -   , 17 , -   , 1 , 14 , -   , -   , -   , -   , -   , -   , 6 , 1 , -   , 3 , -   , -   , 1 , 2 , 163 , 5 , -   , 61 , 18 , -   , 2 , 2 , 1 , 4 , 1 , 4 , 51 , -   , 3 , 7 , 4 , -   , 35 , 5 , 4 , 11 , 1 , 3 , 1 , 6 , 4 , 141 , 2 , -   , 7 , 2 , 11 , 9 , 8 , 3 , 66 , 28 , 2 , 2 , 1 , -   
     ??. 5 ??????????????????????????? Interprovincial Taxi , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   
     ??. 6 ?????????????????????????????????? 7 ?? Urban Taxi ," 95,231 "," 91,290 "," 3,941 ", 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   ," 1,894 ", -   , -   , -   , 591 , 22 , 5 , -   , -   ," 1,276 ",, -   , -   , 494 , 60 , 25 , 122 , 14 , -   , -   , -   , 14 , 24 , 58 , 11 , 16 , 361 , 6 , 46 , 12 , 13 , 918 , 238 , -   , 404 , -   , 10 , -   , 10 , 1 , 9 , 1 , 50 , 192 , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,128 ", -   , -   , 599 , -   , 62 , 17 , 353 , -   , 2 , 91 , -   , -   , 4 , -   
     ??. 7 ??????????????????????? Fixed Route Taxi ," 2,932 "," 2,412 ", 520 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 519 , -   , -   , -   , -   , -   , -   , 519 , -   , -   , -   , -   , -   , -   , -   
     ??. 8 ??????????????????? Motortricycle Taxi (Tuk Tuk) ," 20,389 "," 9,354 "," 11,035 "," 3,898 ", 14 , 1 , 1 , 40 , 13 ," 1,325 ", -   ," 1,727 ", 777 ," 4,433 ", 1 , 532 ," 1,016 ", 876 , 1 , 57 , 25 , 92 ," 1,833 ",, 56 , -   , 401 , -   , 43 , 764 , 17 , 1 , -   , -   , 3 , 2 , 2 , 33 , -   , 505 , 1 , -   , 5 , -   ," 1,678 ", 190 , 14 ," 1,142 ", 4 , -   , 1 , -   , -   , 5 , 4 , 51 , 127 , 1 , 31 , 67 , 41 , -   , 820 , 104 , 13 , 88 , 103 , 230 , 186 , 19 , 77 , 206 , -   , -   , -   , -   , -   , -   , -   , -   , 203 , -   , -   , -   , 3 , -   
     ??. 9 ?????????????????? Hotel Taxi ," 4,180 ", 686 ," 3,494 ", 44 , -   , -   , -   , -   , -   , -   , -   , 42 , 2 , 68 , -   , -   , -   , 6 , 3 , -   , -   , -   , 59 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 38 , 2 , -   , 8 , -   , -   , -   , -   , 259 , 59 , -   , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 194 , -   , -   , -   , -   , -   , -   , -   , 194 ," 2,929 ", -   , -   , 87 , 320 , 27 , 110 ," 2,363 ", -   , -   , 21 , -   , 1 , -   , -   
     ??.10 ??????????????????? Tour Taxi ," 4,612 "," 1,460 "," 3,152 ", 10 , -   , -   , -   , -   , -   , -   , -   , 2 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,142 ", -   , -   , 9 , 35 , -   , 443 ," 2,649 ", -   , 6 , -   , -   , -   , -   , -   
     ??.11 ??????????????????? Car For Hire , 57 , 51 , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , 1 , 1 , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   
     ??.12 ?????????????????????? Motorcycle ," 20,276,806 "," 3,382,378 "," 16,894,428 "," 1,140,063 "," 103,768 "," 85,643 "," 233,331 "," 87,680 "," 238,245 "," 240,297 "," 56,000 "," 45,160 "," 49,939 "," 7,025,913 "," 72,770 "," 149,137 "," 226,341 "," 925,848 "," 400,491 "," 206,122 "," 88,925 "," 130,541 "," 4,825,738 ",," 208,450 "," 125,856 "," 426,155 "," 242,346 "," 324,395 "," 710,799 "," 294,913 "," 77,361 "," 88,832 "," 67,551 "," 141,183 "," 145,341 "," 392,492 "," 151,601 "," 306,695 "," 433,482 "," 158,010 "," 200,245 "," 233,234 "," 96,797 "," 4,060,152 "," 439,355 "," 47,498 "," 791,405 "," 169,639 "," 141,754 "," 175,718 "," 272,487 "," 157,698 "," 154,881 "," 193,600 "," 144,658 "," 269,374 "," 211,305 "," 192,436 "," 268,067 "," 324,393 "," 105,884 "," 1,760,090 "," 297,530 "," 239,214 "," 252,743 "," 323,794 "," 192,229 "," 45,305 "," 200,483 "," 208,792 "," 2,908,210 "," 169,105 "," 54,208 "," 339,535 "," 85,423 "," 380,084 "," 136,664 "," 284,505 "," 161,594 "," 231,379 "," 441,601 "," 95,270 "," 156,058 "," 192,079 "," 180,705 "
     ??.13 ??????????? Tractor ," 502,084 "," 91,662 "," 410,422 "," 40,411 "," 3,260 "," 1,032 "," 15,444 ", 771 ," 5,061 "," 1,853 ", 282 ," 1,102 "," 11,606 "," 217,539 ", 557 ," 2,433 "," 2,228 "," 4,614 "," 2,320 "," 2,881 ", 153 ," 7,838 "," 194,515 ",," 13,925 "," 4,116 "," 18,074 "," 11,414 "," 12,035 "," 34,480 "," 11,326 "," 3,216 "," 4,984 "," 1,782 "," 4,627 "," 7,946 "," 14,894 "," 3,863 "," 8,401 "," 11,799 "," 8,377 "," 7,563 "," 9,666 "," 2,027 "," 118,814 "," 8,464 ", 145 ," 4,416 "," 3,923 "," 2,911 ", 927 ," 1,091 "," 2,463 "," 5,625 "," 9,490 "," 3,377 "," 9,452 "," 13,780 "," 6,185 "," 20,121 "," 20,914 "," 5,530 "," 18,519 "," 6,480 "," 5,894 "," 1,408 "," 1,128 ", 185 , 90 ," 1,371 "," 1,963 "," 15,139 "," 1,311 ", 143 ," 4,018 ", 158 ," 2,938 ", 356 , 408 ," 1,401 ", 828 ," 2,516 ", 174 , 247 , 326 , 315 
     ??.14 ??????? Road Roller ," 13,333 "," 3,669 "," 9,664 ", 748 , 39 , 47 , 136 , 60 , 130 , 80 , 54 , 158 , 44 ," 3,882 ", 45 , 169 , 87 , 289 , 129 , 141 , 23 , 119 ," 2,880 ",, 107 , 114 , 246 , 193 , 440 , 398 , 249 , 30 , 101 , 3 , 27 , 100 , 159 , 32 , 124 , 214 , 117 , 77 , 92 , 57 ," 2,354 ", 247 , 15 , 388 , 70 , 82 , 49 , 124 , 117 , 100 , 171 , 82 , 189 , 124 , 167 , 207 , 170 , 52 ," 1,157 ", 253 , 89 , 162 , 393 , 21 , 47 , 98 , 94 ," 1,523 ", 123 , 44 , 306 , 39 , 119 , 46 , 24 , 58 , 96 , 289 , 47 , 99 , 116 , 117 
     ??.15 ????????????????? Farm Vehicle ," 104,178 ", 6 ," 104,172 ", 989 , 79 , -   , 237 , -   , 132 , 533 , 7 , 1 , -   ," 72,968 ", 70 , 21 , 109 , 13 , 12 , 7 , 1 , 51 ," 72,684 ",," 18,047 ", 709 , 201 , 248 ," 1,770 "," 45,149 ", 455 , 19 , 283 , -   , 258 , 171 ," 1,356 ", 56 , 59 , 975 , 308 , 666 ," 1,947 ", 7 ," 29,743 ", 920 , 3 , 30 , 42 , 6 , 26 , 127 , 119 ," 11,980 "," 2,321 ", 18 ," 6,302 ", 777 ," 2,467 "," 2,188 "," 2,074 ", 343 , 428 , 40 , 27 , 3 , 8 , -   , 3 , 318 , 29 , 44 , 2 , 1 , 3 , 1 , 6 , 3 , -   , -   , 3 , 4 , -   , -   , 2 , 19 
     ??.16 ?????? Automobile Trailer ," 3,958 "," 2,269 "," 1,689 ", 125 , 4 , -   , 10 , 6 , 37 , 24 , 35 , 3 , 6 ," 1,250 ", 2 , 2 , 6 , 338 , 25 , 10 , -   , 5 , 862 ,, 8 , -   , 28 , 6 , 8 , 686 , 12 , 1 , 4 , 2 , 10 , 6 , 48 , 1 , 3 , 28 , 4 , 4 , 3 , -   , 123 , 14 , 6 , 22 , 2 , 2 , 7 , 7 , -   , 6 , 16 , 3 , 8 , 9 , 8 , 2 , 10 , 1 , 93 , 6 , 28 , 6 , 13 , 2 , -   , 13 , 25 , 98 , 18 , 3 , 19 , 1 , 3 , 7 , 20 , 5 , 3 , 14 , 1 , 1 , -   , 3 
     ??.17 ???????????????????? Public Motorcycle ," 198,463 "," 101,141 "," 97,322 "," 43,211 ", 137 , 161 ," 1,150 ", 542 ," 1,835 "," 4,061 "," 8,938 "," 8,249 "," 18,138 "," 23,385 ", 365 , 314 ," 1,950 "," 12,509 "," 1,419 ", 546 , 231 , 306 ," 5,745 ",, 74 , 171 , 238 , 343 , 685 ," 2,461 ", 998 , 82 , 22 , -   , 11 , 5 , 55 , 4 , 110 , 230 , 39 , 128 , 86 , 3 ," 5,072 ", 655 , 117 , 534 , 127 , 120 , 105 , 161 , 83 , 118 , 127 ," 1,322 ", 276 , 141 , 180 , 290 , 589 , 127 ," 14,180 ", 548 , 849 ," 4,315 "," 1,140 "," 4,774 ", 910 , 760 , 884 ," 11,474 ", 536 , 515 , 447 , 414 ," 1,485 ", 375 ," 1,909 ", 695 ," 1,139 "," 2,119 ", 331 , 603 , 49 , 857 
 ?. ?????????????????????????????????? ," 1,213,516 "," 182,102 "," 1,031,414 "," 158,240 "," 8,058 "," 5,195 "," 15,811 "," 5,778 "," 30,827 "," 22,896 "," 20,755 "," 18,003 "," 30,917 "," 430,884 "," 4,131 "," 11,111 "," 22,762 "," 51,460 "," 24,667 "," 8,324 "," 3,695 "," 10,394 "," 294,340 ", -   ," 19,761 "," 6,140 "," 19,816 "," 13,150 "," 19,402 "," 56,269 "," 17,605 "," 3,275 "," 8,261 "," 3,250 "," 5,850 "," 11,067 "," 22,785 "," 4,867 "," 9,207 "," 29,422 "," 12,973 "," 12,264 "," 14,302 "," 4,674 "," 183,092 "," 15,877 "," 1,123 "," 23,973 "," 6,949 "," 5,997 "," 4,474 "," 9,625 "," 6,177 "," 6,222 "," 10,484 "," 7,010 "," 14,024 "," 17,334 "," 9,327 "," 13,369 "," 24,639 "," 6,488 "," 139,982 "," 27,072 "," 18,332 "," 37,068 "," 17,950 "," 14,201 "," 3,361 "," 10,645 "," 11,353 "," 119,216 "," 6,963 "," 3,484 "," 18,467 "," 4,142 "," 15,256 "," 6,604 "," 11,392 "," 6,313 "," 7,207 "," 25,170 "," 2,572 "," 3,888 "," 4,503 "," 3,255 "
     Total Vehicle under Land Transport Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
